"Screen","Viewport","Reachable","RootVisible","TitleVisible","PrimaryCTA","CurrentBlockerNextAction","EmptyStateOK","NoClipping","NoOverlap","ConsoleClean","ArtPreserved","Screenshot","DOMSummary","Status","Notes"
"Opening Story","1366x768","True","True","False","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-000-opening-story.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-000-opening-story.json","pass",""
"Life Start Path","1366x768","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-001-life-start-path.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-001-life-start-path.json","pass",""
"Life Start Heart Law Before Selection","1366x768","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-002-life-start-heart-law-before-selection.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-002-life-start-heart-law-before-selection.json","pass",""
"Life Start Heart Law Selected","1366x768","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-003-life-start-heart-law-selected.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-003-life-start-heart-law-selected.json","pass",""
"Life Start Breath Before Selection","1366x768","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-004-life-start-breath-before-selection.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-004-life-start-breath-before-selection.json","pass",""
"Life Start Breath Selected","1366x768","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-005-life-start-breath-selected.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-005-life-start-breath-selected.json","pass",""
"Cultivation","1366x768","True","True","False","Next MilestoneBreakthrough","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-010-cultivation-cultivation.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-010-cultivation-cultivation.json","pass",""
"Status","1366x768","True","True","True","Open Gate Trial","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-011-status-status.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-011-status-status.json","pass",""
"World","1366x768","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-012-world-world.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-012-world-world.json","partial",""
"Inventory","1366x768","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-013-inventory-inventory.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-013-inventory-inventory.json","partial",""
"Techniques","1366x768","True","True","True","Open Manual Pavilion","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-014-techniques-techniques.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-014-techniques-techniques.json","pass",""
"Records","1366x768","True","True","True","OpenRoute to Gate Trial>","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-015-records-records.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-015-records-records.json","pass",""
"Prestige","1366x768","True","True","True","Open Decree Library","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-016-prestige-prestige.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-016-prestige-prestige.json","pass",""
"Settings","1366x768","True","True","True","Replay","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-017-settings-settings.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-017-settings-settings.json","partial",""
"Outskirts","1366x768","True","True","True","Open Outskirts","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-100-outskirts-outskirts.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-100-outskirts-outskirts.json","pass",""
"Ruins","1366x768","True","True","True","Open Ruins","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-101-ruins-ruins.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-101-ruins-ruins.json","pass",""
"Gate Trial","1366x768","True","True","True","Open Gate Trial","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-102-gate-trial-gate-trial.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-102-gate-trial-gate-trial.json","pass",""
"Manual Pavilion","1366x768","True","True","True","Open Manual Pavilion","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-103-manual-pavilion-manual-pavilion.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-103-manual-pavilion-manual-pavilion.json","pass",""
"Apothecary","1366x768","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-104-apothecary-apothecary.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-104-apothecary-apothecary.json","pass",""
"Forge","1366x768","True","True","True","Open Forge","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-105-forge-forge.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-105-forge-forge.json","pass",""
"Bounties","1366x768","True","True","True","Open Bounties","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-106-bounties-bounties.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-106-bounties-bounties.json","pass",""
"Expeditions","1366x768","True","True","True","Open Expeditions","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1366x768/SS-107-expeditions-expeditions.png","artifacts/mp2/browser/dom-summaries/1366x768/SS-107-expeditions-expeditions.json","pass",""
"Opening Story","1920x1080","True","True","False","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-000-opening-story.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-000-opening-story.json","pass",""
"Life Start Path","1920x1080","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-001-life-start-path.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-001-life-start-path.json","pass",""
"Life Start Heart Law Before Selection","1920x1080","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-002-life-start-heart-law-before-selection.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-002-life-start-heart-law-before-selection.json","pass",""
"Life Start Heart Law Selected","1920x1080","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-003-life-start-heart-law-selected.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-003-life-start-heart-law-selected.json","pass",""
"Life Start Breath Before Selection","1920x1080","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-004-life-start-breath-before-selection.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-004-life-start-breath-before-selection.json","pass",""
"Life Start Breath Selected","1920x1080","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-005-life-start-breath-selected.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-005-life-start-breath-selected.json","pass",""
"Cultivation","1920x1080","True","True","False","Next MilestoneBreakthrough","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-010-cultivation-cultivation.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-010-cultivation-cultivation.json","pass",""
"Status","1920x1080","True","True","True","Open Gate Trial","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-011-status-status.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-011-status-status.json","pass",""
"World","1920x1080","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-012-world-world.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-012-world-world.json","partial",""
"Inventory","1920x1080","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-013-inventory-inventory.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-013-inventory-inventory.json","partial",""
"Techniques","1920x1080","True","True","True","Open Manual Pavilion","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-014-techniques-techniques.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-014-techniques-techniques.json","pass",""
"Records","1920x1080","True","True","True","OpenRoute to Gate Trial>","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-015-records-records.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-015-records-records.json","pass",""
"Prestige","1920x1080","True","True","True","Open Decree Library","See DOM summary","True","True","True","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-016-prestige-prestige.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-016-prestige-prestige.json","pass",""
"Settings","1920x1080","True","True","True","Replay","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-017-settings-settings.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-017-settings-settings.json","partial",""
"Outskirts","1920x1080","True","True","True","Open Outskirts","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-100-outskirts-outskirts.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-100-outskirts-outskirts.json","pass",""
"Ruins","1920x1080","True","True","True","Open Ruins","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-101-ruins-ruins.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-101-ruins-ruins.json","pass",""
"Gate Trial","1920x1080","True","True","True","Open Gate Trial","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-102-gate-trial-gate-trial.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-102-gate-trial-gate-trial.json","pass",""
"Manual Pavilion","1920x1080","True","True","True","Open Manual Pavilion","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-103-manual-pavilion-manual-pavilion.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-103-manual-pavilion-manual-pavilion.json","pass",""
"Apothecary","1920x1080","True","True","True","Open Apothecary","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-104-apothecary-apothecary.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-104-apothecary-apothecary.json","pass",""
"Forge","1920x1080","True","True","True","Open Forge","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-105-forge-forge.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-105-forge-forge.json","pass",""
"Bounties","1920x1080","True","True","True","Open Bounties","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-106-bounties-bounties.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-106-bounties-bounties.json","pass",""
"Expeditions","1920x1080","True","True","True","Open Expeditions","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/1920x1080/SS-107-expeditions-expeditions.png","artifacts/mp2/browser/dom-summaries/1920x1080/SS-107-expeditions-expeditions.json","pass",""
"Opening Story","2048x1152","True","True","False","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/2048x1152/SS-000-opening-story.png","artifacts/mp2/browser/dom-summaries/2048x1152/SS-000-opening-story.json","pass",""
"Life Start Path","2048x1152","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/2048x1152/SS-001-life-start-path.png","artifacts/mp2/browser/dom-summaries/2048x1152/SS-001-life-start-path.json","pass",""
"Life Start Heart Law Before Selection","2048x1152","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/2048x1152/SS-002-life-start-heart-law-before-selection.png","artifacts/mp2/browser/dom-summaries/2048x1152/SS-002-life-start-heart-law-before-selection.json","pass",""
"Life Start Heart Law Selected","2048x1152","True","True","True","Next MilestonePush Qi","See DOM summary","True","False","False","True","True","artifacts/mp2/browser/screenshots/2048x1152/SS-003-life-start-heart-law-selected.png","artifacts/mp2/browser/dom-summaries/2048x1152/SS-003-life-start-heart-law-selected.json","pass",""
