type,key,gold,merit,spiritStones
earned,outskirts,0,0,0
earned,ruins_room,0,0,0
earned,ruins_chest,0,0,0
earned,ruins_rare,0,0,0
earned,bounty,0,10,0
earned,expedition,0,0,5
earned,trial_clear,0,40,0
earned,eligible_defeat_merit,0,5,0
earned,manual_pavilion,0,0,0
earned,craft_completion,0,0,0
earned,debug,0,0,0
earned,other,0,0,0
spent,apothecary_shop,0,0,0
spent,apothecary_bundle,0,0,0
spent,alchemy_queue,30,0,0
spent,talisman_queue,0,0,0
spent,forge_service,0,0,0
spent,craft_session,0,0,0
spent,gate_fail_safe_purchase,100,0,0
spent,prestige_purchase,0,8,0
spent,heart_law_change,0,0,0
spent,breakthrough_gate_item,0,0,0
spent,other,0,0,0
