eventId,emittedAt,kind,lifeId,lifeOrdinal,sessionKind,realmId,realmIndex,cityId
manual_reclaim,1184000,reclaim/milestone_reached,manual,2,reclaim,,,
manual_diagnosis,1183000,diagnosis/computed,manual,1,first_life,,,
manual_readiness,1182000,readiness/snapshot,manual,1,first_life,,,
bal_20,1780460027210,offline/applied,1780460027206:0,1,first_life,qi_condensation,0,
bal_19,1780460027210,prestige/performed,1780460027206:0,1,first_life,qi_condensation,0,
bal_18,1780460027210,support/expedition_claimed,1780460027206:0,1,first_life,qi_condensation,0,
bal_17,1780460027210,support/expedition_started,1780460027206:0,1,first_life,qi_condensation,0,
bal_16,1780460027209,support/bounty_claimed,1780460027206:0,1,first_life,qi_condensation,0,
bal_15,1780460027209,economy/currency_spent,1780460027206:0,1,first_life,qi_condensation,0,
bal_14,1780460027209,economy/currency_spent,1780460027206:0,1,first_life,qi_condensation,0,
bal_13,1780460027209,economy/currency_spent,1780460027206:0,1,first_life,qi_condensation,0,
bal_12,1780460027209,economy/currency_earned,1780460027206:0,1,first_life,qi_condensation,0,
bal_11,1780460027209,economy/currency_earned,1780460027206:0,1,first_life,qi_condensation,0,
bal_10,1780460027209,economy/currency_earned,1780460027206:0,1,first_life,qi_condensation,0,
bal_9,1780460027208,economy/currency_earned,1780460027206:0,1,first_life,qi_condensation,0,
bal_8,1780460027208,trials/gate_resolved,1780460027206:0,1,first_life,qi_condensation,0,
bal_7,1780460027208,trials/attempt_resolved,1780460027206:0,1,first_life,qi_condensation,0,
bal_6,1780460027208,trials/attempt_resolved,1780460027206:0,1,first_life,qi_condensation,0,
bal_5,1780460027208,trials/attempt_started,1780460027206:0,1,first_life,qi_condensation,0,
bal_4,1145000,progression/city_entered,1780460027206:0,1,first_life,qi_condensation,0,
bal_3,1140000,progression/breakthrough,1780460027206:0,1,first_life,qi_condensation,0,
bal_2,1120000,progression/gate_available,1780460027206:0,1,first_life,qi_condensation,0,
bal_1,1000000,progression/life_started,1780460027206:0,1,first_life,qi_condensation,0,
