soundId,output_file,source_file,source_path,sr,channels,trimmed_ms
ui_tooltip_open,ui_tooltip_open.wav,UI Audio_189.wav,/mnt/data/ui_audios/UI Audios/UI Audio_189.wav,44100,2,221.54195011337868
ui_tooltip_close,ui_tooltip_close.wav,UI Audio_059.wav,/mnt/data/ui_audios/UI Audios/UI Audio_059.wav,44100,2,229.20634920634922
ui_dropdown_open,ui_dropdown_open.wav,UI Audio_237.wav,/mnt/data/ui_audios/UI Audios/UI Audio_237.wav,44100,2,294.9433106575964
ui_minibar_open,ui_minibar_open.wav,UI Audio_019.wav,/mnt/data/ui_audios/UI Audios/UI Audio_019.wav,44100,2,333.6507936507936
ui_minibar_close,ui_minibar_close.wav,UI Audio_094.wav,/mnt/data/ui_audios/UI Audios/UI Audio_094.wav,44100,2,309.11564625850343
ui_combat_details_expand,ui_combat_details_expand.wav,UI Audio_192.wav,/mnt/data/ui_audios/UI Audios/UI Audio_192.wav,44100,2,340.95238095238096
ui_combat_details_collapse,ui_combat_details_collapse.wav,UI Audio_049.wav,/mnt/data/ui_audios/UI Audios/UI Audio_049.wav,44100,2,319.88662131519277
ui_pavilion_detail_expand,ui_pavilion_detail_expand.wav,UI Audio_223.wav,/mnt/data/ui_audios/UI Audios/UI Audio_223.wav,44100,2,366.57596371882084
ui_pavilion_detail_collapse,ui_pavilion_detail_collapse.wav,UI Audio_069.wav,/mnt/data/ui_audios/UI Audios/UI Audio_069.wav,44100,2,356.30385487528343
ui_tab_switch,ui_tab_switch.wav,UI Audio_014.wav,/mnt/data/ui_audios/UI Audios/UI Audio_014.wav,44100,2,269.75056689342404
ui_modal_open,ui_modal_open.wav,UI Audio_010.wav,/mnt/data/ui_audios/UI Audios/UI Audio_010.wav,44100,2,536.2358276643992
ui_modal_close,ui_modal_close.wav,UI Audio_159.wav,/mnt/data/ui_audios/UI Audios/UI Audio_159.wav,44100,2,459.9546485260771
ui_drawer_open,ui_drawer_open.wav,UI Audio_125.wav,/mnt/data/ui_audios/UI Audios/UI Audio_125.wav,44100,2,444.7845804988662
ui_drawer_close,ui_drawer_close.wav,UI Audio_086.wav,/mnt/data/ui_audios/UI Audios/UI Audio_086.wav,44100,2,394.60317460317464
ui_theater_open,ui_theater_open.wav,UI Audio_156.wav,/mnt/data/ui_audios/UI Audios/UI Audio_156.wav,44100,2,498.7981859410431
ui_theater_close,ui_theater_close.wav,UI Audio_197.wav,/mnt/data/ui_audios/UI Audios/UI Audio_197.wav,44100,2,468.0725623582766
ui_city_enter,ui_city_enter.wav,UI Audio_095.wav,/mnt/data/ui_audios/UI Audios/UI Audio_095.wav,44100,2,839.7278911564626
ui_city_exit,ui_city_exit.wav,UI Audio_112.wav,/mnt/data/ui_audios/UI Audios/UI Audio_112.wav,44100,2,728.0725623582766
ui_building_enter,ui_building_enter.wav,UI Audio_009.wav,/mnt/data/ui_audios/UI Audios/UI Audio_009.wav,44100,2,792.6757369614512
ui_building_exit,ui_building_exit.wav,UI Audio_006.wav,/mnt/data/ui_audios/UI Audios/UI Audio_006.wav,44100,2,603.469387755102
ui_satchel_open,ui_satchel_open.wav,UI Audio_151.wav,/mnt/data/ui_audios/UI Audios/UI Audio_151.wav,44100,2,552.5396825396825
ui_satchel_close,ui_satchel_close.wav,UI Audio_155.wav,/mnt/data/ui_audios/UI Audios/UI Audio_155.wav,44100,2,371.97278911564626
ui_techlib_open,ui_techlib_open.wav,UI Audio_100.wav,/mnt/data/ui_audios/UI Audios/UI Audio_100.wav,44100,2,556.0770975056689
ui_techlib_close,ui_techlib_close.wav,UI Audio_108.wav,/mnt/data/ui_audios/UI Audios/UI Audio_108.wav,44100,2,465.03401360544217
ui_apothecary_open,ui_apothecary_open.wav,UI Audio_021.wav,/mnt/data/ui_audios/UI Audios/UI Audio_021.wav,44100,2,573.9229024943311
ui_apothecary_close,ui_apothecary_close.wav,UI Audio_097.wav,/mnt/data/ui_audios/UI Audios/UI Audio_097.wav,44100,2,681.4965986394558
ui_bounty_board_open,ui_bounty_board_open.wav,UI Audio_004.wav,/mnt/data/ui_audios/UI Audios/UI Audio_004.wav,44100,2,619.6371882086167
ui_bounty_board_close,ui_bounty_board_close.wav,UI Audio_007.wav,/mnt/data/ui_audios/UI Audios/UI Audio_007.wav,44100,2,485.8049886621315
ui_expedition_open,ui_expedition_open.wav,UI Audio_172.wav,/mnt/data/ui_audios/UI Audios/UI Audio_172.wav,44100,2,525.3514739229025
ui_expedition_close,ui_expedition_close.wav,UI Audio_077.wav,/mnt/data/ui_audios/UI Audios/UI Audio_077.wav,44100,2,515.6462585034014
ui_pouch_open,ui_pouch_open.wav,UI Audio_041.wav,/mnt/data/ui_audios/UI Audios/UI Audio_041.wav,44100,2,421.97278911564626
ui_pouch_close,ui_pouch_close.wav,UI Audio_219.wav,/mnt/data/ui_audios/UI Audios/UI Audio_219.wav,44100,2,385.8503401360544
ui_crafting_open,ui_crafting_open.wav,UI Audio_012.wav,/mnt/data/ui_audios/UI Audios/UI Audio_012.wav,44100,2,662.7664399092971
ui_crafting_close,ui_crafting_close.wav,UI Audio_133.wav,/mnt/data/ui_audios/UI Audios/UI Audio_133.wav,44100,2,530.4761904761905
ui_prestige_open,ui_prestige_open.wav,UI Audio_027.wav,/mnt/data/ui_audios/UI Audios/UI Audio_027.wav,44100,2,632.2902494331065
ui_prestige_close,ui_prestige_close.wav,UI Audio_079.wav,/mnt/data/ui_audios/UI Audios/UI Audio_079.wav,44100,2,556.7120181405895
ui_ap_store_open,ui_ap_store_open.wav,UI Audio_190.wav,/mnt/data/ui_audios/UI Audios/UI Audio_190.wav,44100,2,466.1904761904762
ui_ap_store_close,ui_ap_store_close.wav,UI Audio_050.wav,/mnt/data/ui_audios/UI Audios/UI Audio_050.wav,44100,2,492.8571428571429
ui_meridian_open,ui_meridian_open.wav,UI Audio_089.wav,/mnt/data/ui_audios/UI Audios/UI Audio_089.wav,44100,2,607.5283446712018
ui_meridian_close,ui_meridian_close.wav,UI Audio_103.wav,/mnt/data/ui_audios/UI Audios/UI Audio_103.wav,44100,2,464.5804988662132
ui_garden_open,ui_garden_open.wav,UI Audio_064.wav,/mnt/data/ui_audios/UI Audios/UI Audio_064.wav,44100,2,479.2517006802721
ui_garden_close,ui_garden_close.wav,UI Audio_008.wav,/mnt/data/ui_audios/UI Audios/UI Audio_008.wav,44100,2,480.0680272108844
ui_jadecore_open,ui_jadecore_open.wav,UI Audio_124.wav,/mnt/data/ui_audios/UI Audios/UI Audio_124.wav,44100,2,462.40362811791385
ui_jadecore_close,ui_jadecore_close.wav,UI Audio_083.wav,/mnt/data/ui_audios/UI Audios/UI Audio_083.wav,44100,2,454.96598639455783
ui_trial_enter,ui_trial_enter.wav,UI Audio_168.wav,/mnt/data/ui_audios/UI Audios/UI Audio_168.wav,44100,2,864.6031746031746
ui_trial_exit,ui_trial_exit.wav,UI Audio_233.wav,/mnt/data/ui_audios/UI Audios/UI Audio_233.wav,44100,2,561.0657596371882
ui_trial_summary_open,ui_trial_summary_open.wav,UI Audio_215.wav,/mnt/data/ui_audios/UI Audios/UI Audio_215.wav,44100,2,436.2358276643991
ui_trial_summary_close,ui_trial_summary_close.wav,UI Audio_114.wav,/mnt/data/ui_audios/UI Audios/UI Audio_114.wav,44100,2,377.4603174603174
ui_ruins_enter,ui_ruins_enter.wav,UI Audio_117.wav,/mnt/data/ui_audios/UI Audios/UI Audio_117.wav,44100,2,676.780045351474
ui_ruins_run_summary_open,ui_ruins_run_summary_open.wav,UI Audio_185.wav,/mnt/data/ui_audios/UI Audios/UI Audio_185.wav,44100,2,422.99319727891157
ui_ruins_run_summary_close,ui_ruins_run_summary_close.wav,UI Audio_175.wav,/mnt/data/ui_audios/UI Audios/UI Audio_175.wav,44100,2,343.3333333333333
ui_pagoda_enter,ui_pagoda_enter.wav,UI Audio_073.wav,/mnt/data/ui_audios/UI Audios/UI Audio_073.wav,44100,2,842.6303854875283
ui_pagoda_exit,ui_pagoda_exit.wav,UI Audio_034.wav,/mnt/data/ui_audios/UI Audios/UI Audio_034.wav,44100,2,672.6757369614512
ui_pavilion_refresh_open,ui_pavilion_refresh_open.wav,UI Audio_105.wav,/mnt/data/ui_audios/UI Audios/UI Audio_105.wav,44100,2,391.7687074829932
ui_pavilion_receipt_popup_open,ui_pavilion_receipt_popup_open.wav,UI Audio_201.wav,/mnt/data/ui_audios/UI Audios/UI Audio_201.wav,44100,2,402.562358276644
ui_pavilion_receipt_popup_close,ui_pavilion_receipt_popup_close.wav,UI Audio_131.wav,/mnt/data/ui_audios/UI Audios/UI Audio_131.wav,44100,2,346.5986394557823
ui_learned_popup_open,ui_learned_popup_open.wav,UI Audio_161.wav,/mnt/data/ui_audios/UI Audios/UI Audio_161.wav,44100,2,308.7755102040816
ui_learned_popup_close,ui_learned_popup_close.wav,UI Audio_146.wav,/mnt/data/ui_audios/UI Audios/UI Audio_146.wav,44100,2,370.5442176870749
ui_rank_upgrade_open,ui_rank_upgrade_open.wav,UI Audio_141.wav,/mnt/data/ui_audios/UI Audios/UI Audio_141.wav,44100,2,397.89115646258506
ui_trait_reroll_open,ui_trait_reroll_open.wav,UI Audio_067.wav,/mnt/data/ui_audios/UI Audios/UI Audio_067.wav,44100,2,387.9365079365079
ui_rune_socket_open,ui_rune_socket_open.wav,UI Audio_081.wav,/mnt/data/ui_audios/UI Audios/UI Audio_081.wav,44100,2,375.89569160997735
ui_bounty_claim_open,ui_bounty_claim_open.wav,UI Audio_222.wav,/mnt/data/ui_audios/UI Audios/UI Audio_222.wav,44100,2,388.8888888888889
